"LAPORAN LABA RUGI"
""
"kode","keterangan","saldoawal","debet","kredit","saldoakhir"
"5.201","Biaya Karyawan dan Pengurus (BKP)","0.00","0.00","0.00","0.00"
"5.201.01","BKP - Gaji","0.00","0.00","0.00","0.00"
"5.201.02","BKP - Tunjangan Kesehatan","0.00","0.00","0.00","0.00"
"5.201.03","BKP - Tunjangan Makan","0.00","0.00","0.00","0.00"
"5.201.04","BKP - Tunjangan Transportasi","0.00","0.00","0.00","0.00"
"5.201.05","BKP - Tunjangan Prestasi absensi dan l","0.00","0.00","0.00","0.00"
"5.201.06","BKP - Premi Astek","0.00","0.00","0.00","0.00"
"5.206","Biaya Pendidikan","0.00","0.00","0.00","0.00"
"5.209","Biaya Tenaga Kerja lainnya","0.00","0.00","0.00","0.00"
"5.209.01","Biaya THR","0.00","0.00","0.00","0.00"
"5.209.02","Biaya karyawan ....","0.00","0.00","0.00","0.00"
"5.209.03","Biaya obat dan perawatan rumah sakit","0.00","0.00","0.00","0.00"
"5.209.04","Biaya Assuransi Sun Life","0.00","0.00","0.00","0.00"
"5.209.09","BKP Lainnya","0.00","0.00","0.00","0.00"
"5.210","Biaya Sewa (BSW)","0.00","0.00","0.00","0.00"
"5.210.01","BSW - Gedung","0.00","0.00","0.00","0.00"
"5.210.02","BSW - Inventaris","0.00","0.00","0.00","0.00"
"5.210.03","BSW - Lainnya","0.00","0.00","0.00","0.00"
"5.220","Biaya Pajak (BP)","0.00","0.00","0.00","0.00"
"5.220.01","BP - Pajak Bumi dan Bangunan (PBB)","0.00","0.00","0.00","0.00"
"5.220.02","BP - Kendaraan","0.00","0.00","0.00","0.00"
"5.220.03","BP - Lainnya","0.00","0.00","0.00","0.00"
"5.230","Biaya Pemeliharaan dan Perbaikan (BPP)","0.00","0.00","0.00","0.00"
"5.230.01","BPP - Bangunan Kantor","0.00","0.00","0.00","0.00"
"5.230.02","BPP - Servis Inventaris","0.00","0.00","0.00","0.00"
"5.230.03","BPP - Sparepart","0.00","0.00","0.00","0.00"
"5.230.09","BPP - Lainnya","0.00","0.00","0.00","0.00"
"5.241","Biaya PAPPD","0.00","0.00","0.00","0.00"
"5.241.10","Biaya Penyisihan Penghapusan Akt. Prod.","0.00","0.00","0.00","0.00"
"5.243","Bi. Penyusutan Aktiva Tetap Harta & Inv","0.00","0.00","0.00","0.00"
"5.243.10","Biaya Penyusutan Aktiva Tetap Bangunan","0.00","0.00","0.00","0.00"
"5.243.20","Biaya Penyusutan Aktiva Tetap Inventari","0.00","0.00","0.00","0.00"
"5.250","Biaya Barang & Jasa (BBJ)","0.00","0.00","0.00","0.00"
"5.250.01","BBJ - Keamanan","0.00","0.00","0.00","0.00"
"5.250.02","BBJ - Listrik dan Air","0.00","0.00","0.00","0.00"
"5.250.03","BBJ - Telepon","0.00","0.00","0.00","0.00"
"5.250.04","BBJ - Barang cetak dan alat-alat kantor","0.00","0.00","0.00","0.00"
"5.250.05","BBJ - Perangko dan Materei","0.00","0.00","0.00","0.00"
"5.250.06","BBJ - Transportasi","0.00","0.00","0.00","0.00"
"5.250.07","BBJ - Koran dan Majalah","0.00","0.00","0.00","0.00"
"5.250.08","BBJ - Administrasi","0.00","0.00","0.00","0.00"
"5.250.09","BBJ - Bahan Bakar","0.00","0.00","0.00","0.00"
"5.250.10","BBJ - Perbarindo","0.00","0.00","0.00","0.00"
"5.250.11","BBJ - Notaris dan Konsultan","0.00","0.00","0.00","0.00"
"5.250.12","BBJ - Entertainment","0.00","0.00","0.00","0.00"
"5.250.13","BBJ - Rumah Tangga kantor","0.00","0.00","0.00","0.00"
"5.250.14","BBJ - Penagihan","0.00","0.00","0.00","0.00"
"5.250.15","BBJ - Perjalanan Dinas","0.00","0.00","0.00","0.00"
"5.250.16","BBJ - Pengiriman Barang","0.00","0.00","0.00","0.00"
"5.250.17","BBJ -Lainnya","0.00","0.00","0.00","0.00"
"5.269","Biaya Lainnya","0.00","0.00","0.00","0.00"
"5.269.01","Fee LPS","0.00","0.00","0.00","0.00"
"5.269.02","Biaya Bank Lainnya","0.00","0.00","0.00","0.00"
"5.269.03","Biaya Pph Pasal 21","0.00","0.00","0.00","0.00"
"5.269.04","Biaya Pph Pasal 25","0.00","0.00","0.00","0.00"
"5.269.05","Biaya Iklan dan Promosi","0.00","0.00","0.00","0.00"
"5.269.06","Biaya Aktivitas Karyawan","0.00","0.00","0.00","0.00"
"5.269.07","Biaya Operasional Lainnya","0.00","0.00","0.00","0.00"
"5.300","Biaya Non Operasional (BNO)","0.00","0.00","0.00","0.00"
"5.300.01","BNO - Sumbangan donasi","0.00","0.00","0.00","0.00"
"5.300.02","BNO - Cinderamata/Souvenir","0.00","0.00","0.00","0.00"
"5.300.03","BNO - Kerugian Aktiva Tetap Harta","0.00","0.00","0.00","0.00"
"5.300.04","BNO - Kerugian Aktiva Tetap Inventaris","0.00","0.00","0.00","0.00"
"5.300.05","BNO - Denda-denda","0.00","0.00","0.00","0.00"
"5.300.06","BNO - Lainnya","0.00","0.00","0.00","0.00"
"6.320","Fas. Pinj. Yadit Yang Belum Ditarik","0.00","0.00","0.00","0.00"
"6.320.01","Fas. Pinj. Yadit yang Belum Ditarik","0.00","0.00","0.00","0.00"
"6.331","Bunga Kredit Dalam Penyelesaian","0.00","0.00","0.00","0.00"
"6.331.01","Bunga Kredit Dalam Penyelesaian","0.00","0.00","0.00","0.00"
"6.339","Bunga Lainnya","0.00","0.00","0.00","0.00"
"6.339.01","Bunga Lainnya","0.00","0.00","0.00","0.00"
"6.340","Fas. PYD KPD Nasabah Yang Belum Ditarik","0.00","0.00","0.00","0.00"
"6.340.01","Fas. PYD KPD Nasabah Yang Belum Ditarik","0.00","0.00","0.00","0.00"
"6.350","Penerusan Kredit Channelling","0.00","0.00","0.00","0.00"
"6.350.01","Penerusan Kredit Channeling","0.00","0.00","0.00","0.00"
"6.360","Aktiva Produktif Yang Dihapusbukukan","0.00","0.00","0.00","0.00"
"6.360.01","Aktiva Produktif Yang Dihapusbukukan","0.00","0.00","0.00","0.00"
"6.390","Lainnya Yang Bersifat Administratif","0.00","0.00","0.00","0.00"
"6.390.01","Lainnya yg bersifat Administratif","0.00","0.00","0.00","0.00"
"","TOTAL BIAYA","0.00","0.00","0.00","0.00"
"","LABA RUGI","275100.00","0.00","0.00","275100.00"
